ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
77883,KALMAR AC,E30ABX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/abx.jpg,48,1940.0,SB-350 Blue,14.0,B,36.2,27.0,24.2
77884,KALMAR AC,E35ABX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/abx.jpg,36,1940.0,SB-350 Gray,14.0,B,36.2,27.0,24.2
77885,KALMAR AC,E35ABX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/abx.jpg,48,1940.0,SB-350 Blue,14.0,B,36.2,27.0,24.2
77886,KALMAR AC,E50BBX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77887,KALMAR AC,E50BBX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77888,KALMAR AC,E40BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77889,KALMAR AC,E40BBXH,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77890,KALMAR AC,E40BBXHL,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,3000.0,SB-350 Gray,18.0,B,39.2,33.4,24.0
77891,KALMAR AC,E40BBXHL,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,3000.0,SB-350 Blue,18.0,B,39.2,33.4,24.0
77892,KALMAR AC,E40BBX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77893,KALMAR AC,E40BBX,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_714/bbx.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
77894,KALMAR AC,ET30XXAM,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_714/xxam.jpg,36,1565.0,SB-350 Gray,18.0,B,38.6,18.0,22.6
