ID,CategoryID,OptionID,Description,Plate_AH_Rating,CELL,TYPE,PLATES,Total_AH_Rating,VOLTAGE,Battery_Weight
263,BASE_PART_IB,59-1885,60 CELL 125 AH 11 PLT - 625 AH,125,60,110-125-145,11,625,120,6300
264,BASE_PART_IB,59-1885-36,36 CELL 125 AH 11 PLT - 625 AH,125,36,110-125-145,11,625,72,3780
265,BASE_PART_IB,59-1887-40,40 CELL 125 AH 11 PLT - 625 AH,125,40,110-125-145,11,625,80,4450
266,BASE_PART_IB,59-1890,30 CELL 125 AH 13 PLT - 750 AH,125,30,110-125-145,13,750,60,3600
267,BASE_PART_IB,59-1890-20,20 CELL 125 AH 13 PLT - 750 AH,125,20,110-125-145,13,750,40,2400
268,BASE_PART_IB,59-1890-36,36 CELL 125 AH 13 PLT - 750 AH,125,36,110-125-145,13,750,72,4320
269,BASE_PART_IB,59-1890-40,40 CELL 125 AH 13 PLT - 750 AH,125,40,110-125-145,13,750,80,5090
270,BASE_PART_IB,59-1890-60,60 CELL 125 AH 13 PLT - 750 AH,125,60,110-125-145,13,750,120,7200
271,BASE_PART_IB,59-1890-64,64 CELL 125 AH 13 PLT - 750 AH,125,64,110-125-145,13,750,128,7680
272,BASE_PART_IB,59-1900-10,10 CELL 125 AH 15 PLT -875 AH,125,10,110-125-145,15,875,20,1640
273,BASE_PART_IB,59-1900-14,14 CELL 125 AH 15 PLT - 875 AH,125,14,110-125-145,15,875,28,2210
274,BASE_PART_IB,59-1900-36,36 CELL 125 AH 15 PLT - 875 AH,125,36,110-125-145,15,875,72,5040
275,BASE_PART_IB,59-1900-40,36 CELL 125 AH 15 PLT - 875 AH,125,40,110-125-145,15,875,80,5600
276,BASE_PART_IB,59-1900-48,48 CELL 125 AH 15 PLT - 875 AH,125,48,110-125-145,15,875,96,7120
277,BASE_PART_IB,59-1900-60,60 CELL 125 AH 15 PLT - 875 AH,125,60,110-125-145,15,875,120,8400
278,BASE_PART_IB,59-1910-1901,80 CELL 125 AH 17 PLT-1000 AH,125,80,110-125-145,17,1000,160,12640
279,BASE_PART_IB,59-1910-60,60 CELL 125 AH 17 PLT -1000 AH,125,60,110-125-145,17,1000,120,9480
280,BASE_PART_IB,59-1910-64,64 CELL 125 AH 17 PLT- 1000 AH,125,64,110-125-145,17,1000,128,10120
281,BASE_PART_IB,59-1910-68,68 CELL 125 AH 17 PLT- 1000 AH,125,68,110-125-145,17,1000,136,10750
282,BASE_PART_IB,59-1930,36 CELL 125 AH 21 PLT-1250 AH,125,36,110-125-145,21,1250,72,7280
283,BASE_PART_IB,59-1930-1,64 CELL 125 AH 21 PLT-1250 AH,125,64,110-125-145,21,1250,128,12930
284,BASE_PART_IB,59-1930-3,64 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,12930
285,BASE_PART_IB,59-1930-4,64 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,12930
286,BASE_PART_IB,59-1930-5,64 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,12930
287,BASE_PART_IB,59-1930-7,64 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,12930
288,BASE_PART_IB,59-1930-8,64 CELL 125 AH 21 PLT-1250 AH,125,32,110-125-145,21,1250,64,12930
289,BASE_PART_IB,59-1935,50 CELL 125 AH 21 PLT-1250 AH,125,50,110-125-145,21,1250,100,10100
290,BASE_PART_IB,59-1940-36,36 CELL 125 AH 23 PLT-1375 AH,125,36,110-125-145,23,1375,72,7960
291,BASE_PART_IB,59-1950,64 CELL 125 AH 25 PLT-1500 AH,125,64,110-125-145,25,1500,128,15170
292,BASE_PART_IB,59-1950-40,40 CELL 125 AH 25 PLT- 1500 AH,125,40,110-125-145,25,1500,80,10000
293,BASE_PART_IB,59-2110,4 CELL 100 AH 09 PLT - 400 AH,100,4,90-100,9,400,8,288
294,BASE_PART_IB,59-2110-40,40 CELL 100 AH 09 PLT - 400 AH,100,40,90-100,9,400,80,3050
295,BASE_PART_IB,59-2120,36 CELL 100 AH 11 PLT - 500 AH,100,36,90-100,11,500,72,3060
296,BASE_PART_IB,59-2120-40,40 CELL 100 AH 11 PLT - 500 AH,100,40,90-100,11,500,80,3600
297,BASE_PART_IB,59-2130,40 CELL 100 AH 13 PLT - 600 AH,100,40,90-100,13,600,80,4410
298,BASE_PART_IB,59-2140,20 CELL 100 AH 15 PLT - 700 AH,100,20,90-100,15,700,40,2340
299,BASE_PART_IB,59-2150,36 CELL 100 AH 17 PLT - 800 AH,100,36,90-100,17,800,72,4790
300,BASE_PART_IB,59-2150-32,32 CELL 100 AH 17 PLT - 800 AH,100,32,90-100,17,800,64,4260
301,BASE_PART_IB,59-2160-30,30 CELL 100 AH 19 PLT - 900 AH,100,30,90-100,19,900,60,4350
302,BASE_PART_IB,59-2160-38,38 CELL 100 AH 19 PLT - 900 AH,100,38,90-100,19,900,76,5220
303,BASE_PART_IB,59-2170-8,64 CELL 100 AH 21 PLT-1000 AH,100,32,90-100,21,1000,64,10120
304,BASE_PART_IB,59-2190,64 CELL 100 AH 25 PLT-1200 AH,100,64,90-100,25,1200,128,11970
305,BASE_PART_IB,59-2190-4,64 CELL 100 AH 25 PLT-1200 EJC,100,64,90-100,25,1200,128,11970
306,BASE_PART_IB,92-1460,9 CELL 85 AH 09 PLT - 340 AH,85,9,75-85-105,9,340,18,570
